Time,X,Y,Z
1,-0.08546268278575016,0.40689064269269215,9.775760832290404
11,1.7822414051213828,1.61010439892765,9.830268837592026
21,4.0912335113847496,3.8962704339121013,10.109808398326168
31,6.033375054884168,5.410550209406374,9.899554972406598
41,8.322698456297777,7.436636509278692,10.160308804537115
51,9.748298518281025,10.490420444656367,10.114036188035104
61,11.983450496240886,13.070986231003717,9.796209494023069
71,14.208857584464067,13.678000160554552,9.988793860003852
81,14.562784633554426,16.522867020476966,10.014347450159997
91,18.481982469623517,17.851889340781028,10.14367355174942
101,19.438233970783003,19.88152469572311,9.817065152903883
111,22.17322566741221,22.80958929617197,10.256388521933891
121,24.38577754550994,23.98943440627872,10.279993915763342
131,25.57174080589179,24.700842966466833,10.261620357101505
141,28.410571126897356,27.667440285256355,10.040525322895173
151,30.312347648708457,30.360146646495444,9.891012110719247
161,31.816254712254647,31.51558205505583,9.782893286908887
171,33.943323272347804,34.70660616682223,9.973397275067295
181,36.20643968071292,36.02753490507313,10.0469333298886
191,37.81671319148808,37.98822681807464,10.20767460574675
201,39.839765792283465,39.47773294213718,9.849125049309432
211,41.63672548149419,41.81565150981578,9.850537228691973
