Time,X,Y,Z
1,0.0,0.0,10.0
2,0.2,0.2,10.0
3,0.4,0.4,10.0
4,0.6000000000000001,0.6000000000000001,10.0
5,0.8,0.8,10.0
6,1.0,1.0,10.0
7,1.2000000000000002,1.2000000000000002,10.0
8,1.4000000000000001,1.4000000000000001,10.0
9,1.6,1.6,10.0
10,1.8,1.8,10.0
11,2.0,2.0,10.0
12,2.2,2.2,10.0
13,2.4000000000000004,2.4000000000000004,10.0
14,2.6,2.6,10.0
15,2.8000000000000003,2.8000000000000003,10.0
16,3.0,3.0,10.0
17,3.2,3.2,10.0
18,3.4000000000000004,3.4000000000000004,10.0
19,3.6,3.6,10.0
20,3.8000000000000003,3.8000000000000003,10.0
21,4.0,4.0,10.0
22,4.2,4.2,10.0
23,4.4,4.4,10.0
24,4.6000000000000005,4.6000000000000005,10.0
25,4.800000000000001,4.800000000000001,10.0
26,5.0,5.0,10.0
27,5.2,5.2,10.0
28,5.4,5.4,10.0
29,5.6000000000000005,5.6000000000000005,10.0
30,5.800000000000001,5.800000000000001,10.0
31,6.0,6.0,10.0
32,6.2,6.2,10.0
33,6.4,6.4,10.0
34,6.6000000000000005,6.6000000000000005,10.0
35,6.800000000000001,6.800000000000001,10.0
36,7.0,7.0,10.0
37,7.2,7.2,10.0
38,7.4,7.4,10.0
39,7.6000000000000005,7.6000000000000005,10.0
40,7.800000000000001,7.800000000000001,10.0
41,8.0,8.0,10.0
42,8.200000000000001,8.200000000000001,10.0
43,8.4,8.4,10.0
44,8.6,8.6,10.0
45,8.8,8.8,10.0
46,9.0,9.0,10.0
47,9.200000000000001,9.200000000000001,10.0
48,9.4,9.4,10.0
49,9.600000000000001,9.600000000000001,10.0
50,9.8,9.8,10.0
51,10.0,10.0,10.0
52,10.200000000000001,10.200000000000001,10.0
53,10.4,10.4,10.0
54,10.600000000000001,10.600000000000001,10.0
55,10.8,10.8,10.0
56,11.0,11.0,10.0
57,11.200000000000001,11.200000000000001,10.0
58,11.4,11.4,10.0
59,11.600000000000001,11.600000000000001,10.0
60,11.8,11.8,10.0
61,12.0,12.0,10.0
62,12.200000000000001,12.200000000000001,10.0
63,12.4,12.4,10.0
64,12.600000000000001,12.600000000000001,10.0
65,12.8,12.8,10.0
66,13.0,13.0,10.0
67,13.200000000000001,13.200000000000001,10.0
68,13.4,13.4,10.0
69,13.600000000000001,13.600000000000001,10.0
70,13.8,13.8,10.0
71,14.0,14.0,10.0
72,14.200000000000001,14.200000000000001,10.0
73,14.4,14.4,10.0
74,14.600000000000001,14.600000000000001,10.0
75,14.8,14.8,10.0
76,15.0,15.0,10.0
77,15.200000000000001,15.200000000000001,10.0
78,15.4,15.4,10.0
79,15.600000000000001,15.600000000000001,10.0
80,15.8,15.8,10.0
81,16.0,16.0,10.0
82,16.2,16.2,10.0
83,16.400000000000002,16.400000000000002,10.0
84,16.6,16.6,10.0
85,16.8,16.8,10.0
86,17.0,17.0,10.0
87,17.2,17.2,10.0
88,17.400000000000002,17.400000000000002,10.0
89,17.6,17.6,10.0
90,17.8,17.8,10.0
91,18.0,18.0,10.0
92,18.2,18.2,10.0
93,18.400000000000002,18.400000000000002,10.0
94,18.6,18.6,10.0
95,18.8,18.8,10.0
96,19.0,19.0,10.0
97,19.200000000000003,19.200000000000003,10.0
98,19.400000000000002,19.400000000000002,10.0
99,19.6,19.6,10.0
100,19.8,19.8,10.0
101,20.0,20.0,10.0
102,20.200000000000003,20.200000000000003,10.0
103,20.400000000000002,20.400000000000002,10.0
104,20.6,20.6,10.0
105,20.8,20.8,10.0
106,21.0,21.0,10.0
107,21.200000000000003,21.200000000000003,10.0
108,21.400000000000002,21.400000000000002,10.0
109,21.6,21.6,10.0
110,21.8,21.8,10.0
111,22.0,22.0,10.0
112,22.200000000000003,22.200000000000003,10.0
113,22.400000000000002,22.400000000000002,10.0
114,22.6,22.6,10.0
115,22.8,22.8,10.0
116,23.0,23.0,10.0
117,23.200000000000003,23.200000000000003,10.0
118,23.400000000000002,23.400000000000002,10.0
119,23.6,23.6,10.0
120,23.8,23.8,10.0
121,24.0,24.0,10.0
121,24.104490960131542,23.89505211446371,10.0
122,24.208523005501082,23.789649301579136,10.0
123,24.31209415548843,23.6837935680639,10.0
124,24.41520243824819,23.577486929258583,10.0
125,24.51784589074728,23.470731409088348,10.0
126,24.62002255880233,23.363529040024417,10.0
127,24.721730497116855,23.255881863045364,10.0
128,24.82296776931832,23.14779192759827,10.0
129,24.923732447994997,23.0392612915597,10.0
130,25.024022614732647,22.930292021196518,10.0
131,25.123836360151067,22.820886191126558,10.0
132,25.22317178394042,22.711045884279116,10.0
133,25.322026994897428,22.600773191855307,10.0
134,25.420400110961367,22.490070213288238,10.0
135,25.51828925924991,22.378939056203045,10.0
136,25.615692576094784,22.26738183637677,10.0
137,25.71260820707723,22.155400677698072,10.0
138,25.809034307063346,22.04299771212679,10.0
139,25.904969040239173,21.930175079653367,10.0
140,26.000410580145687,21.816934928258092,10.0
141,26.095357109713536,21.70327941387022,10.0
142,26.189806821297662,21.589210700326912,10.0
143,26.283757916711707,21.474730959332046,10.0
144,26.377208607262236,21.359842370414874,10.0
145,26.470157113782815,21.24454712088852,10.0
146,26.562601666667856,21.128847405808337,10.0
147,26.65454050590633,21.012745427930124,10.0
148,26.745971881115263,20.896243397668187,10.0
149,26.836894051573072,20.779343533053243,10.0
150,26.927305286252686,20.66204805969021,10.0
151,27.017203863854522,20.54435921071582,10.0
152,27.106588072839255,20.426279226756115,10.0
153,27.195456211460385,20.30781035588378,10.0
154,27.283806587796658,20.18895485357535,10.0
155,27.371637519784258,20.069714982668255,10.0
156,27.458947335248848,19.950093013317765,10.0
157,27.545734371937392,19.83009122295374,10.0
158,27.631996977549818,19.70971189623729,10.0
159,27.717733509770454,19.588957325017276,10.0
160,27.80294233629932,19.467829808286666,10.0
161,27.887621834883184,19.34633165213878,10.0
162,27.97177039334645,19.224465169723373,10.0
163,28.055386409621867,19.102232681202604,10.0
164,28.138468291781013,18.97963651370686,10.0
165,28.221014458064612,18.856679001290455,10.0
166,28.30302333691265,18.73336248488718,10.0
167,28.384493366994278,18.609689312265754,10.0
168,28.465422997237564,18.485661837985113,10.0
169,28.545810686859006,18.361282423349582,10.0
170,28.625654905392874,18.23655343636393,10.0
171,28.704954132720335,18.111477251688278,10.0
172,28.783706859098412,17.986056250592885,10.0
173,28.861911585188707,17.86029282091282,10.0
174,28.939566822085972,17.734189357002506,10.0
175,29.01667109134643,17.60774825969012,10.0
176,29.093222925015944,17.48097193623189,10.0
177,29.16922086565794,17.35386280026627,10.0
178,29.244663466381184,17.22642327176799,10.0
179,29.3195492908673,17.098655777001973,10.0
180,29.393876913398138,16.97056274847714,10.0
181,29.467644918882907,16.842146624900117,10.0
182,29.540851902885116,16.713409851128787,10.0
183,29.613496471649317,16.584354878125755,10.0
184,29.685577242127636,16.454984162911675,10.0
185,29.757092842006102,16.32530016851848,10.0
186,29.828041909730782,16.19530536394249,10.0
187,29.898423094533698,16.065002224097405,10.0
188,29.96823505645854,15.934393229767172,10.0
189,30.037476466386188,15.803480867558779,10.0
190,30.10614600606001,15.672267629854893,10.0
191,30.174242368110946,15.540756014766423,10.0
192,30.24176425608243,15.408948526084949,10.0
193,30.30871038445504,15.276847673235059,10.0
194,30.375079478670997,15.144455971226574,10.0
195,30.440870275158417,15.01177594060666,10.0
196,30.506081521355366,14.878810107411844,10.0
197,30.57071197573372,14.745561003119928,10.0
198,30.634760407822785,14.612031164601781,10.0
199,30.698225598232742,14.47822313407305,10.0
200,30.761106338677852,14.344139459045754,10.0
201,30.823401431999454,14.209782692279791,10.0
202,30.885109692188763,14.075155391734327,10.0
203,30.946229944409463,13.940260120519104,10.0
204,31.00676102502005,13.80509944684564,10.0
205,31.066701781596006,13.669675943978328,10.0
206,31.12605107295173,13.533992190185458,10.0
207,31.184807769162255,13.398050768690116,10.0
208,31.24297075158479,13.261854267621013,10.0
209,31.300538912879986,13.125405279963205,10.0
210,31.35751115703304,12.988706403508731,10.0
211,31.413886399374544,12.851760240807153,10.0
212,31.469663566601145,12.714569399116002,10.0
213,31.52484159679598,12.57713649035115,10.0
214,31.579419439448895,12.439464131037072,10.0
215,31.633396055476435,12.301554942257042,10.0
216,31.686770417241636,12.16341154960322,10.0
217,31.73954150857359,12.025036583126674,10.0
218,31.791708324786786,11.886432677287303,10.0
219,31.843269872700237,11.74760247090368,10.0
220,31.894225170656394,11.608548607102815,10.0
221,31.94457324853984,11.469273733269834,10.0
222,31.994313147795744,11.329780500997574,10.0
223,32.04344392144812,11.190071566036101,10.0
224,32.091964634117865,11.050149588242153,10.0
225,32.13987436204055,10.910017231528492,10.0
226,32.18717219308402,10.769677163813194,10.0
227,32.233857226765736,10.629132056968851,10.0
228,32.27992857426996,10.488384586771708,10.0
229,32.325385358464644,10.347437432850715,10.0
230,32.37022671391814,10.20629327863651,10.0
231,32.41445178691569,10.064954811310335,10.0
232,32.458059735475636,9.923424721752871,10.0
233,32.501049729365505,9.781705704493016,10.0
234,32.543420950117785,9.639800457656571,10.0
235,32.585172591045506,9.497711682914886,10.0
236,32.626303857257604,9.355442085433415,10.0
237,32.666813965674066,9.212994373820216,10.0
238,32.706702145040815,9.070371260074385,10.0
