Time,X,Y,Z,Model
0,-0.08825896739390526,-0.29898909999908996,9.934050790751517,Constant Velocity
5,1.06710617928673,-0.3002300989249864,9.825701924002143,Constant Velocity
10,2.5983333734519376,2.2394915147719727,10.015892454963483,Constant Velocity
15,3.0045102611454695,3.020105456293266,10.180145776727358,Constant Velocity
20,4.053500733810218,3.75622418895558,10.121885806867544,Constant Velocity
25,4.949361279466903,5.381539682581545,10.15126094456433,Constant Velocity
30,5.076620103836518,6.3579165286577375,9.859153968300047,Constant Velocity
35,6.762698844907291,6.335780591026039,10.045885485671299,Constant Velocity
40,8.232839668060116,7.998600778124697,10.013783214652761,Constant Velocity
45,9.09253356809177,7.829549150522545,10.194883575078773,Constant Velocity
50,9.880091519354476,9.97355656615085,10.171137511182513,Constant Velocity
55,10.819915090786433,10.311884415001366,9.90604122274666,Constant Velocity
60,12.026382245422527,11.864300890754917,10.085747092787518,Constant Velocity
65,13.310974175188704,12.668482587995575,10.008204697018417,Constant Velocity
70,13.943368250095903,14.367432262043629,10.30220735400677,Constant Velocity
75,15.439272919241791,15.534579092875799,9.877441986307286,Constant Velocity
80,16.684607746893665,16.31802798986821,9.877479881176642,Constant Velocity
85,17.365978513922737,16.26855392431333,10.156195257293982,Constant Velocity
90,18.03586887742032,17.339803601747228,9.719140965476898,Constant Velocity
95,18.777253902381375,19.667362499945845,10.004443072010787,Constant Velocity
100,20.51491653423909,21.03621840924943,9.905614870249021,Constant Velocity
105,21.07687241187299,21.045452652813093,9.894838719752139,Constant Velocity
110,22.682572468620343,21.792449316595874,10.007918585910312,Constant Velocity
115,22.625919557080792,22.442129851582067,10.11319532528604,Constant Velocity
120,24.179946562428412,24.477300475602075,9.885808652865604,Constant Velocity
125,24.634225318358464,24.346133181254746,10.252136554840677,Constant Velocity
130,25.64469697239976,25.82605847803398,9.825409394373414,Constant Velocity
135,26.978438867146625,26.899592002727402,9.944520089740045,Constant Velocity
140,27.46742872736875,28.826264503372343,9.907996113149737,Constant Velocity
145,28.47187335727018,29.213525960242368,10.332591183861277,Constant Velocity
150,30.55053665037195,30.065957095156513,9.88662967671911,Constant Velocity
155,30.45767929982072,30.51366908461078,10.111558045922628,Constant Velocity
160,31.85107925549214,31.88830171054066,9.753142097500225,Constant Velocity
165,33.42945280718981,33.12763806222201,9.933625994837064,Constant Velocity
170,34.27777568935978,34.46411585979635,9.974489387650065,Constant Velocity
175,34.99604154882383,34.17212855009514,9.70055959106326,Constant Velocity
180,35.897235193313584,36.32421843457618,9.997302327401394,Constant Velocity
185,35.919029235876515,36.494466279084826,10.06568707649692,Hovering
190,36.622482832824765,36.07990144406062,10.036981092173198,Hovering
195,37.01095608683747,36.32507119980601,9.477418039192484,Hovering
200,35.105589392647495,36.32284420844206,10.020122366542221,Hovering
205,36.330389062675266,36.08255074768788,9.652254523386192,Hovering
210,36.36424781273867,35.346480481613796,9.824833595607014,Hovering
215,36.44125198064227,35.76085761122638,10.004785292275168,Hovering
220,36.4692360555082,37.052128069667035,9.905282852014993,Hovering
225,35.74040711211513,36.004432074567625,9.878138918162442,Hovering
230,36.30501400546685,35.81766152492759,10.192470508500634,Hovering
235,36.33240839578173,36.00627852589351,10.172708754769015,Hovering
240,36.26689436604416,35.994167827956545,9.794339358132763,Hovering
245,35.050642228952896,36.36245188518923,10.010652998995786,Hovering
250,35.92851552685412,35.7573411742968,10.219195926388135,Hovering
255,35.959916197439206,36.578034197593134,9.976191952314254,Hovering
260,36.79883777449941,35.76365649851933,10.024077134656258,Hovering
265,35.73554622340565,36.17365875162548,9.688392402895404,Hovering
270,36.052611997472965,36.01918818051466,9.673184229646417,Hovering
275,36.353524735269175,36.41209977216383,9.812072111736601,Hovering
280,36.74633381452018,35.43678785453997,9.931295729743153,Hovering
285,37.151656507537865,36.47539098706072,10.07988666525567,Hovering
290,35.636018483857036,36.32288922850891,9.961038287533274,Hovering
295,36.00846724978416,36.71653061572259,10.159136852678245,Hovering
300,36.60371729804485,36.35922739872746,9.951342683012339,Hovering
305,36.41396871664402,35.783603776214385,10.214913325265703,Constant Acceleration
310,35.813204626910355,35.80200493551939,11.733494241489813,Constant Acceleration
315,36.781310923119406,36.32253190015252,14.155738122130726,Constant Acceleration
320,36.47322535737316,35.725773625782615,18.02580292963643,Constant Acceleration
325,35.97154115424442,35.80777771152136,23.173567009492118,Constant Acceleration
330,36.18408098944632,35.836916073087565,29.692593950992034,Constant Acceleration
335,35.35305979141101,36.52944846668682,33.94002485049338,Hovering
340,36.52496082336643,36.16723959823476,33.85840351464111,Hovering
345,36.09612138435308,36.3518029484736,34.01607367167107,Hovering
350,36.027016341926156,36.93858716190862,34.105120711034445,Hovering
355,36.26835851282341,35.819689659924975,34.06797886057478,Hovering
360,36.12002084369729,36.10351578763033,33.80447921502969,Hovering
365,36.754809808794704,36.49574248345398,34.04016872856497,Hovering
370,35.596962629530864,37.03236626082122,34.018713589867076,Hovering
375,36.40241226830838,36.59873960797165,34.21216697591193,Hovering
380,36.56269983834243,35.87045509749201,34.11012772714577,Hovering
385,36.10409468927621,36.39412407570059,33.73179530876382,Hovering
390,35.93474408810681,35.86358443619095,33.871748871324066,Hovering
395,36.49137672683674,35.94902207661651,33.76878277421586,Hovering
400,36.29713846543952,36.10696898886347,34.05028719282276,Hovering
405,36.22128778284912,36.52629495666107,34.06631679211743,Hovering
410,36.116638405400444,36.56557963767336,34.255078298646644,Hovering
415,36.475298857484454,35.18047997781529,34.044709160519076,Hovering
420,36.511634514902596,35.855298061075814,33.82766806307581,Hovering
425,36.40983839084973,35.607696985510394,34.15873941847816,Hovering
430,36.36549807124846,35.80266427767455,34.03542100284465,Hovering
435,35.135763576415414,36.571001182638675,33.857071435299254,Hovering
440,36.20622428370756,37.315192399309396,33.98012981365591,Hovering
445,36.575078360154805,36.69716140225152,33.82285509639382,Hovering
450,36.47849488728914,36.13216918566767,33.72673325903363,Hovering
