Time,X,Y,Z
0,-0.021858722816765954,-0.1663988184813045,10.068138719118824
1,0.2748522343023418,0.04842589867298358,10.032246038892474
2,0.26181328084842914,0.30979278500146107,10.089175628624883
3,0.6399379340883642,0.62295608093518,9.960615161820245
4,0.5440472482284535,0.7391179837702029,10.019640442649559
5,0.9631760129047152,0.7783879504681239,10.11278335245354
6,1.1431260371911875,1.2339602158476266,10.044978872624919
7,1.3846233135659265,1.3930136040546477,9.938452486461177
8,1.7796388283571083,1.4782471904549273,10.05680526122835
9,1.699055364427358,1.9230901341337359,9.92281824505604
10,1.9561524887268487,1.7905527360986226,10.106786979243937
11,2.193562150983969,2.117797264643089,9.899786998274806
12,2.372517690568956,2.381427734955821,9.924821142941525
13,2.550137112159647,2.588169654589665,10.01477093877408
14,2.7876054146670857,2.858155312966771,9.854788063410847
15,3.024037224607709,2.8927968847318377,10.035960374369992
16,3.1630044940519086,3.1188404518754003,9.954447249676726
17,3.5117327053325944,3.5789056909600507,10.02163287412114
18,3.5820724579456877,3.4684433836944994,9.973479999127209
19,3.773420966768591,3.7319577427545587,10.029857150251022
20,3.978871859083057,3.977996130358739,10.06105240761756
21,4.1511481315829375,4.1307589311926245,9.975142452090633
22,4.330905633409903,4.260285664624141,10.07464683309483
23,4.738963676054578,4.651381607703662,9.952305182695973
24,4.798087943832902,4.760427421949654,9.86565478719854
25,4.927326661555862,5.165100885032191,9.773286108283411
26,5.227938463600768,5.057770500442619,10.044755770690019
27,5.385945648363656,5.390680991393731,9.993704216353857
28,5.638296746608158,5.744919072884676,10.010316627040998
29,5.726264923445908,5.863974433175419,9.932703407647415
30,5.832661622533759,6.089577218698853,10.137948615051304
31,6.307983459544091,6.176670808747108,10.04184158290895
32,6.4329871118687665,6.4760896290447825,9.930625527323087
33,6.783219749797407,6.542467946792439,10.058317160200108
34,6.862936526667833,6.749296703296526,9.907874267482788
35,6.948521975610664,7.0704936857027985,10.03396158725339
36,7.0676020308025205,7.153709778580115,10.026244122787096
37,7.456322662686391,7.400927991694014,9.862547716274307
38,7.533625120648531,7.643886838762284,10.0704158359701
39,7.851351718305335,7.6789152585844995,9.883098325206014
40,7.806109824959988,8.015561688897652,10.066901728307863
41,8.154732076264095,8.235011452109891,10.088694987228907
42,8.363758819029183,8.629152161439517,10.078153314651335
43,8.63773054889603,8.639484987476331,9.87773742483259
44,8.74793661396279,8.840083379795553,9.99498117372715
45,8.984756776436202,9.050997071258177,9.93326209274128
46,9.33829828556657,9.261638133347537,10.135840215971845
47,9.382154960145835,9.344515241041558,10.054575771959207
48,9.804032253058226,9.608657291609928,10.041332418608036
49,9.716910770077698,9.82811085576595,9.874018813808869
50,10.050736345508959,10.15002983686898,9.915530953005085
51,10.096019424484535,10.210440907142656,10.22630825039432
52,10.463064197078848,10.21815101472334,9.983095445297598
53,10.549908736292247,10.555632320368408,10.044725195798252
54,10.862744780777703,10.789255199588279,10.071873911571888
